{'train_acc_eval_mode': 0.20373332789788642, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20679999448359013, 'test_acc_train_mode': 0.20679999448359013}
{'train_acc_eval_mode': 0.1926833281169335, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.19289999462664129, 'test_acc_train_mode': 0.19289999462664129}
{'train_acc_eval_mode': 0.20813332756360373, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.21079999476671218, 'test_acc_train_mode': 0.21079999476671218}
{'train_acc_eval_mode': 0.19608332773049672, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.19669999465346336, 'test_acc_train_mode': 0.19669999465346336}
{'train_acc_eval_mode': 0.11563333040413758, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.11629999667406082, 'test_acc_train_mode': 0.11629999667406082}
{'train_acc_eval_mode': 0.14734999635567267, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.14879999652504922, 'test_acc_train_mode': 0.14879999652504922}
{'train_acc_eval_mode': 0.16294999579588573, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.17129999525845052, 'test_acc_train_mode': 0.17129999525845052}
{'train_acc_eval_mode': 0.1459499963497122, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.14419999673962594, 'test_acc_train_mode': 0.14419999673962594}
{'train_acc_eval_mode': 0.1834166619926691, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18459999479353428, 'test_acc_train_mode': 0.18459999479353428}
{'train_acc_eval_mode': 0.20396666099627814, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666089072824, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666610583663, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19983332785467306, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19983332791676123, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.1998333280781905, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19983332823961975, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.18989999475578467, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.1875999941676855, 'test_acc_train_mode': 0.1875999941676855}
{'train_acc_eval_mode': 0.2039666609093547, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666126946608, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666612322132, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666120737791, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666140606007, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666121979554, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.1871999949713548, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.1913333280881246, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.2039666610583663, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666612818837, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666615674893, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.199833327755332, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666092177232, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666608100136, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.1898999946191907, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.1875999941676855, 'test_acc_train_mode': 0.1875999941676855}
{'train_acc_eval_mode': 0.19983332778016727, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666126946608, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666121979554, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666093418994, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666108320158, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666610956192, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.18406666168322167, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18229999527335167, 'test_acc_train_mode': 0.18229999527335167}
{'train_acc_eval_mode': 0.19983332781121135, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19983332780500254, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666104594866, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666610583663, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666609466076, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666612322132, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19983332773049672, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666103353103, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19133332799499234, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.19983332770566145, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.18989999504139027, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.1875999941676855, 'test_acc_train_mode': 0.1875999941676855}
{'train_acc_eval_mode': 0.20396666133155425, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666144331296, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666611328721, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666100869576, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666143089534, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.1898999951283137, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.1875999941676855, 'test_acc_train_mode': 0.1875999941676855}
{'train_acc_eval_mode': 0.1998333278670907, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666088451942, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666093418994, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666135638952, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666119496026, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666100869576, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
